,price,filing_k,filing_q,news
2020-03-13,11.237374305725098,None,None,"['The global recloser control market is expected to grow significantly, driven by increasing demand for power quality and reliability, especially in the electric segment and emerging economies like China. The positive score for this news is 1.1491235518690246e-08. The neutral score for this news is 0.9999998807907104. The negative score for this news is 6.358970239261907e-08.']"
2020-03-16,9.891204833984375,None,None,[]
2020-03-17,9.47625732421875,None,None,[]
2020-03-18,9.55345630645752,None,None,[]
2020-03-19,9.728120803833008,None,None,[]
2020-03-20,9.47625732421875,None,None,[]
2020-03-23,9.428009033203125,None,None,"['The global individual quick freezing (IQF) market is expected to grow significantly, driven by rising consumer demand and technological advancements, with spiral freezers leading the segment growth. The positive score for this news is 8.219546820953383e-09. The neutral score for this news is 1.0. The negative score for this news is 4.250775020864239e-08.']"
2020-03-24,10.421951293945312,None,None,[]
2020-03-25,10.686363220214844,None,None,[]
2020-03-26,11.157279968261719,None,None,[]
2020-03-27,10.846549987792969,None,None,[]
2020-03-30,10.798301696777344,None,None,[]
2020-03-31,10.672852516174316,None,None,[]
2020-04-01,10.151755332946777,None,None,[]
2020-04-02,10.239568710327148,None,None,[]
2020-04-03,10.103504180908203,None,None,[]
2020-04-06,11.015425682067871,None,None,[]
2020-04-07,11.17464828491211,None,None,[]
2020-04-08,11.348348617553711,None,None,[]
2020-04-09,11.51722240447998,None,None,[]
2020-04-13,11.462220191955566,None,None,[]
2020-04-14,11.898396492004395,None,None,"['The global acrylic fibers market is expected to grow steadily, driven by rising demand in apparel and household furnishings, particularly in staple acrylic fibers. The positive score for this news is 2.8204789614960646e-08. The neutral score for this news is 0.9999997615814209. The negative score for this news is 2.435992314531177e-07.']"
2020-04-15,11.468008995056152,None,None,[]
2020-04-16,11.525908470153809,None,None,[]
2020-04-17,11.84628677368164,None,None,[]
2020-04-20,11.631092071533203,None,None,[]
2020-04-21,11.145700454711914,None,None,[]
2020-04-22,11.52204704284668,None,None,[]
2020-04-23,11.531696319580078,None,None,[]
2020-04-24,11.716012001037598,None,None,[]
2020-04-27,12.043144226074219,None,None,[]
2020-04-28,12.011300086975098,None,None,[]
2020-04-29,12.47739315032959,None,None,[]
2020-04-30,12.248689651489258,None,None,[]
2020-05-01,11.717941284179688,None,None,[]
2020-05-04,11.790316581726074,None,None,[]
